"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"02049200","Maralakunte","0","179","965","856","803","68.5","61.9","189"
"02049300","Dasanayakanahalli","0","57","274","1,030","875","61.6","57.0","49"
"02049400","Marenahalli","0","474","2,254","912","854","62.6","61.8","331"
"02049500","Marasandra","0","147","846","1,024","890","57.8","59.3","194"
"02049600","Challamakunte","0","1","3","500","0","33.3","50.0","2"
"02049700","Honnenahalli","0","131","657","944","1,091","64.2","58.9","55"
"02049800","Singanayakanahalli Amanikere","","Un-inhabited","","","","","",""
"02049900","Nagadasanahalli","0","93","510","1,008","1,458","76.9","59.8","96"
"02050000","Lakshmisagara","","Un-inhabited","","","","","",""
"02050100","Muddanahalli","0","35","224","867","619","62.1","55.0","35"
"02050200","Singanayakanahalli","7","357","1,644","901","936","70.8","59.2","174"
